,name_id,term,name,sex,party,partyGroup,areaName,onboardDate,leaveFlag,leaveDate,leaveReason,party_num,party_group_num,birth_date,age,place_of_birth,degree,incumbent,valid_votes,total_votes,electorate,pop,electorate_over_pop_pct,total_votes_over_electorate_pct,elected_over_cands_pct,vote,vote_over_total_votes_pct,vote_margin,vote_over_total_votes_pct_margin,constituency,tier,lnpopudensity,experience,defect_date,defect_period,president,vice_president
49,121,8,段宜康,1,民主進步黨,民主進步黨,全國不分區及僑居國外國民,2012-02-01,否,,,16,16,1963-11-14,49,臺北市,3,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,1,,,0,0
50,122,8,江啟臣,1,中國國民黨,中國國民黨,台中市第8選舉區,2012-02-01,否,,,1,1,1972-03-02,40,臺中市,6,2,154420,156262,203308,264129,76.97,76.86,20.0,69136,44.77,8172,5.300000000000004,臺中市8,1,7.034326076507568,0,,,0,0
51,123,8,江惠貞,2,中國國民黨,中國國民黨,新北市第7選舉區,2012-02-01,否,,,1,1,1963-01-28,49,新北市,3,2,166304,169311,218275,281002,77.68,77.57,33.33,73686,44.3,2479,1.4899999999999949,新北市7,1,10.170262336730955,0,,,0,0
52,134,8,洪秀柱,2,中國國民黨,中國國民黨,全國不分區及僑居國外國民,2012-02-01,否,,,1,1,1948-04-07,64,臺北市,5,1,,,,,,,,,,,,全國不分區及僑居國外國民,2,,6,,,0,1
53,140,8,潘孟安,1,民主進步黨,民主進步黨,屏東縣第3選舉區,2012-02-01,是,2014-12-25,依台立人字第1030008678號函自103年12月25日辭去立法委員職務。,16,16,1963-08-15,49,臺灣省,5,1,140563,142965,202466,256898,78.81,70.61,33.33,93685,66.64,48371,34.410000000000004,屏東縣3,1,6.291550636291504,2,,,0,0
54,141,8,潘維剛,2,中國國民黨,中國國民黨,全國不分區及僑居國外國民,2012-02-01,否,,,1,1,1957-03-31,55,臺灣省,6,1,,,,,,,,,,,,全國不分區及僑居國外國民,2,,5,,,0,0
55,145,8,王廷升,1,中國國民黨,中國國民黨,花蓮縣選舉區,2012-02-01,否,,,1,1,1965-06-30,47,臺灣省,6,1,128731,131743,197341,245918,80.25,66.76,25.0,57557,44.71,21673,16.84,花蓮縣,1,6.184973239898682,1,,,0,0
56,146,8,王惠美,2,中國國民黨,中國國民黨,彰化縣第1選舉區,2012-02-01,否,,,1,1,1968-11-22,44,臺灣省,5,2,178998,181975,239563,315012,76.05,75.96,25.0,63026,35.21,386,0.21999999999999886,彰化縣1,1,7.173912525177002,0,,,0,0
57,149,8,王育敏,2,中國國民黨,中國國民黨,全國不分區及僑居國外國民,2012-02-01,否,,,1,1,1971-04-11,41,臺灣省,5,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,0,,,0,0
58,150,8,王進士,1,中國國民黨,中國國民黨,屏東縣第2選舉區,2012-02-01,否,,,1,1,1948-09-03,64,臺灣省,5,1,156682,158762,211995,269786,78.58,74.89,50.0,80696,51.5,4710,3.009999999999998,屏東縣2,1,7.398841381072998,1,,,0,0
